KeyName,LnkName,KeyLastWriteTimestamp
speech recogniti|5d57f1973bdd5430,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessibility\Speech Recognition.lnk,2024-06-30 15:47:17
spotify.lnk|5f023e772f0ea590,c:\users\esteb\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Spotify.lnk,2024-06-30 15:47:18
spotify.lnk|92147f6b5ad1ade4,c:\users\esteb\Desktop\Spotify.lnk,2024-06-30 15:47:18
spreadsheet comp|87174c4fbd638383,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Office Tools\Spreadsheet Compare.lnk,2024-06-30 15:47:17
steam.lnk|25b4d73bfc549e42,c:\users\esteb\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Steam\Steam.lnk,2024-06-30 15:47:18
steam.lnk|2e6dd08f149c43db,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Steam\Steam.lnk,2024-06-30 15:47:17
steam.lnk|51e2be5a06bdc4f5,C:\Users\Public\Desktop\Steam.lnk,2024-06-30 15:47:17
steps recorder.l|87b62a644197e790,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Steps Recorder.lnk,2024-06-30 15:47:17
system configura|82500ada25d8af21,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\System Configuration.lnk,2024-06-30 15:47:17
system informati|47a9a0488f6fea8b,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\System Information.lnk,2024-06-30 15:47:17
task manager.lnk|4502f59f3e4accf5,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\System Tools\Task Manager.lnk,2024-06-30 15:47:17
task scheduler.l|a1ccac43511808e1,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Task Scheduler.lnk,2024-06-30 15:47:17
telegram.lnk|13bc5928999c2493,c:\users\esteb\Desktop\Telegram.lnk,2024-06-30 15:47:18
telegram.lnk|8525abbea9f9731b,c:\users\esteb\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Telegram Desktop\Telegram.lnk,2024-06-30 15:47:18
telemetry log fo|63ae5d48f0caa457,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Office Tools\Telemetry Log for Office.lnk,2024-06-30 15:47:17
term 3.lnk|b05453929deb6bb6,c:\users\esteb\Desktop\term 3.lnk,2024-06-30 15:47:18
uninstall telegr|e114eeaaf32d9f9c,c:\users\esteb\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Telegram Desktop\Uninstall Telegram.lnk,2024-06-30 15:47:18
user guide.lnk|94769bb0fe8bb7f4,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\User Guide.lnk,2024-06-30 15:47:17
virtual network |ac55ea00685ec9f1,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\VMware\Virtual Network Editor.lnk,2024-06-30 15:47:17
vmware workstati|12611cba0b18599c,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\VMware\VMware Workstation Pro.lnk,2024-06-30 15:47:17
vmware workstati|5a9f5e95cd6b89c6,C:\Users\Public\Desktop\VMware Workstation Pro.lnk,2024-06-30 15:47:17
vmware workstati|7de95e3b91577b68,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\VMware\VMware Workstation 17 Player.lnk,2024-06-30 15:47:17
voiceaccess.lnk|cfe4a80bbb667640,c:\users\esteb\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\VoiceAccess.lnk,2024-06-30 15:47:18
windows defender|9641b1036d9d2c34,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Windows Defender Firewall with Advanced Security.lnk,2024-06-30 15:47:17
windows media pl|6bd670574e3d6ac4,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Windows Media Player Legacy.lnk,2024-06-30 15:47:17
windows powershe|2886066cd6ae76a9,c:\users\esteb\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell (x86).lnk,2024-06-30 15:47:18
windows powershe|30733c7985fb9bcb,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell ISE.lnk,2024-06-30 15:47:17
windows powershe|6d2a715ad3bf3395,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell ISE (x86).lnk,2024-06-30 15:47:17
windows powershe|eae504025e82cb7d,c:\users\esteb\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell.lnk,2024-06-30 15:47:18
word.lnk|a5231da2ea1070e5,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Word.lnk,2024-06-30 15:47:17
word.lnk|f8435a1b4d859a5b,c:\users\esteb\Desktop\Word.lnk,2024-06-30 15:47:18
wordpad.lnk|b071df8746c2a535,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Wordpad.lnk,2024-06-30 15:47:17
