ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Usn,Language,Description
Unassociated,000632319cb04542ecec3dac47b65eda829c00000904,2024-06-29 03:00:25,9907907258e6a05e050a5fb945a6ab1d54accaf3,False,c:\program files (x86)\common files\steam\secure_desktop_capture.exe,secure_desktop_capture.exe,.exe,2024-06-20 17:14:49,steam,3077992,08.98.79.13,01.00.00.01,,pe32_i386,False,8.98.79.13,1.0.0.1,705088320,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,ca3eacdd17f89d405b4b78090686ba24776d4dec,True,c:\windows\system32\securityhealthservice.exe,SecurityHealthService.exe,.exe,2085-05-11 12:07:36,microsoft® windows® operating system,146168,10.0.22621.3672 (winbuild.160101.0800),10.0.22621.3672,,pe64_amd64,False,10.0.22621.3672,10.0.22621.3672,989700808,1033,
Unassociated,00061e08651d72c4c05cbbd6739bb1c4f56e00000000,2024-06-29 03:00:25,121da4df494a389699dc740ea51fbdfe3c12a6b7,False,c:\programdata\lenovo\vantage\addins\smartcoloraddin\1.0.4.112\x64\segametool.exe,SEGameTool.exe,.exe,2093-12-11 17:39:42,segametool,38808,1.0.4.112,1.0.4.112,,pe32_clr_il_prefer32,False,1.0.4.112,1.0.4.112,623740192,0,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,395aa8b83cf4087ef62ca5407c6f69abf229411b,True,c:\windows\system32\services.exe,services.exe,.exe,2025-09-29 04:31:44,microsoft® windows® operating system,757720,10.0.22621.3672 (winbuild.160101.0800),10.0.22621.3672,,pe64_amd64,False,10.0.22621.3672,10.0.22621.3672,989548824,1033,
Unassociated,0006dbcedb5a83e7dcc530c1721748f76c1500000904,2024-06-30 15:47:18,44837f2ff9b3ebc7c371ee5f9e0cd5dcaad508dd,False,c:\program files (x86)\microsoft\edgecore\126.0.2592.81\installer\setup.exe,setup.exe,.exe,2024-06-27 02:27:49,microsoft edge installer,6806464,126.0.2592.81,126.0.2592.81,,pe64_amd64,False,126.0.2592.81,126.0.2592.81,972292848,1033,
Unassociated,0006bd3fa7cab63d3800ca66afa0e661b5e600000904,2024-07-03 01:55:04,71292aa421fc9cefd9eeade06fc5af52f71e8dc2,False,c:\program files (x86)\microsoft\edgeupdate\install\{46e4899d-9afd-48ba-9457-6525f0916531}\edgemitmp_c8ac1.tmp\setup.exe,setup.exe,.exe,2024-07-01 03:43:09,microsoft edge installer,6806464,126.0.2592.87,126.0.2592.87,,pe64_amd64,False,126.0.2592.87,126.0.2592.87,1095706360,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,7e594068675ec324b8a3dff16e3fa672f929382f,True,c:\windows\system32\setupugc.exe,setupugc.exe,.exe,2020-10-01 04:29:21,microsoft® windows® operating system,155648,10.0.22621.1 (winbuild.160101.0800),10.0.22621.1,,pe64_amd64,False,10.0.22621.1,10.0.22621.1,948995368,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,01174f0d7597c4395bab2244bea8544cf1947cd4,True,c:\windows\system32\sihclient.exe,SIHClient.exe,.exe,2089-08-06 15:18:06,microsoft® windows® operating system,430448,1218.2404.17012.0,1218.2404.17012.0,,pe64_amd64,False,1218.2404.17012.0,1218.2404.17012.0,989783184,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,746f5ae87f13a46e88088dea31d1362727b9ec49,True,c:\windows\system32\smss.exe,smss.exe,.exe,1998-09-25 14:50:30,microsoft® windows® operating system,183232,10.0.22621.1 (winbuild.160101.0800),10.0.22621.1,,pe64_amd64,False,10.0.22621.1,10.0.22621.1,948982672,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,88c8dfc0e6ae94e5c7684230a88482f6775138f1,True,c:\windows\system32\spoolsv.exe,spoolsv.exe,.exe,1970-09-25 23:54:00,microsoft® windows® operating system,925696,10.0.22621.3672 (winbuild.160101.0800),10.0.22621.3672,,pe64_amd64,False,10.0.22621.3672,10.0.22621.3672,989687640,1033,
