KeyName,KeyLastWriteTimestamp,DriverTimeStamp,DriverLastWriteTime,DriverName,DriverInBox,DriverIsKernelMode,DriverSigned,DriverCheckSum,DriverCompany,DriverId,DriverPackageStrongName,DriverType,DriverVersion,ImageSize,Inf,Product,ProductVersion,Service,WdfVersion
c:/windows/system32/drivers/percsas2i.sys,2024-06-30 15:47:46,2016-03-15 00:50:11,2022-05-07 05:19:04,percsas2i.sys,True,True,True,67119,Avago Technologies,1f5c23fe785542ba34cf7f315f35a238d538d479,,8650778,6.805.3.0,73728,,MEGASAS RAID Controller Driver for Windows,6.805.03.00,percsas2i,
c:/windows/system32/drivers/percsas3i.sys,2024-06-30 15:47:46,2018-06-01 21:47:02,2022-05-07 05:19:04,percsas3i.sys,True,True,True,99154,Avago Technologies,42233204339295c72874c1769c87209ca41f68f7,,8650778,6.604.6.0,86016,,MEGASAS RAID Controller Driver for Windows,6.604.06.00,percsas3i,
c:/windows/system32/drivers/pktmon.sys,2024-06-30 15:47:46,2096-02-23 13:51:48,2024-05-23 02:18:35,pktmon.sys,True,True,True,218481,Microsoft Corporation,ac883f8bce2c34c6d034d6d10f02a3e1d6774d79,,8650778,10.0.22621.2506,176128,,Microsoft® Windows® Operating System,10.0.22621.2506,pktmon,
c:/windows/system32/drivers/pmem.sys,2024-06-30 15:47:46,1974-12-14 21:09:55,2024-06-29 04:49:54,pmem.sys,True,True,True,213645,Microsoft Corporation,7be61175ed2aa99d65c370477c75b9972f4ff27c,,8650778,10.0.22621.3672,172032,,Microsoft® Windows® Operating System,10.0.22621.1,pmem,
c:/windows/system32/drivers/pnpmem.sys,2024-06-30 15:47:46,2075-12-07 04:50:32,2022-05-07 05:19:02,pnpmem.sys,True,True,True,104990,Microsoft Corporation,7fa250ba7eeb5d2c5bce7745819049158ba2c3fe,,8650778,10.0.22621.1,53248,,Microsoft® Windows® Operating System,10.0.22621.1,pnpmem,
c:/windows/system32/drivers/portcfg.sys,2024-06-30 15:47:46,1976-11-08 08:53:04,2022-05-07 05:19:23,portcfg.sys,True,True,True,77277,Microsoft Corporation,5928ab2d33ceb729748570d2ebeba87ab96836ac,,8650778,10.0.22621.1,61440,,Microsoft® Windows® Operating System,10.0.22621.1,portcfg,
c:/windows/system32/drivers/processr.sys,2024-06-30 15:47:46,2053-06-26 18:03:26,2024-06-29 04:49:54,processr.sys,True,True,True,317201,Microsoft Corporation,bb7ab255f92e5a40fb5cd1be528366a3b06c495f,,8650778,10.0.22621.3672,286720,,Microsoft® Windows® Operating System,10.0.22621.1,processor,
c:/windows/system32/drivers/pvhdparser.sys,2024-06-30 15:47:46,2050-04-07 23:42:04,2024-05-23 01:23:02,pvhdparser.sys,True,True,True,132813,Microsoft Corporation,6f622a91052acabeee6d8b1683396bf37d3ddffa,,8650778,10.0.22621.1,86016,,Microsoft® Windows® Operating System,10.0.22621.1,pvhdparser,
c:/windows/system32/drivers/pvscsii.sys,2024-06-30 15:47:46,2021-05-20 03:55:26,2022-05-07 05:19:04,pvscsii.sys,True,True,True,76979,"VMware, Inc.",d8f4136bbb89fe3f7767580e9a510cb199b0bc73,,8650778,1.3.15.0,57344,,VMware PVSCSI StorPort driver (64-bit),1.3.15.0 build-18052479,pvscsi,
c:/windows/system32/drivers/qwavedrv.sys,2024-06-30 15:47:46,2105-03-18 12:38:44,2024-05-23 02:17:57,qwavedrv.sys,True,True,True,118917,Microsoft Corporation,ffad2b627f50b0ee7cab50b69818a7b3b6cb47c1,,8650778,10.0.22621.2506,86016,,Microsoft® Windows® Operating System,10.0.22621.1,qwavedrv,
c:/windows/system32/drivers/ramdisk.sys,2024-06-30 15:47:46,1999-05-22 20:26:43,2022-05-07 05:19:02,ramdisk.sys,True,True,True,131735,Microsoft Corporation,f4e79d4119a09af3d3ca80f24f91dd917c7f40f0,,8650778,10.0.22621.1,65536,,Microsoft® Windows® Operating System,10.0.22621.1,ramdisk,
c:/windows/system32/drivers/rasacd.sys,2024-06-30 15:47:46,2093-03-26 01:15:17,2022-05-07 05:19:43,rasacd.sys,True,True,True,96219,Microsoft Corporation,41bab62d6220f76f3dbcee402e332cc7ef4054b7,,8650778,10.0.22621.1,57344,,Microsoft® Windows® Operating System,10.0.22621.1,rasacd,
c:/windows/system32/drivers/rasl2tp.sys,2024-06-30 15:47:46,2050-06-26 14:45:06,2024-06-29 04:50:41,rasl2tp.sys,True,True,True,147944,Microsoft Corporation,c3fbc15e78fc7bf46f5cc4033859ec6f13a96a59,netrasa.inf_amd64_dd0f2851639f6bca,8650778,10.0.22621.3672,139264,netrasa.inf,Microsoft® Windows® Operating System,10.0.22621.3672,rasl2tp,
c:/windows/system32/drivers/raspppoe.sys,2024-06-30 15:47:46,2038-06-14 22:27:46,2024-06-29 04:50:41,raspppoe.sys,True,True,True,165126,Microsoft Corporation,62278fae24119aca950534db069db0443b04003d,netrasa.inf_amd64_dd0f2851639f6bca,8650778,10.0.22621.3672,122880,netrasa.inf,Microsoft® Windows® Operating System,10.0.22621.3672,raspppoe,
c:/windows/system32/drivers/raspptp.sys,2024-06-30 15:47:46,2054-08-22 11:50:54,2024-05-23 02:17:59,raspptp.sys,True,True,True,154823,Microsoft Corporation,5c2ff594e25b3aff05e1a79ca60623266657ce89,netrasa.inf_amd64_dd0f2851639f6bca,8650778,10.0.22621.2506,139264,netrasa.inf,Microsoft® Windows® Operating System,10.0.22621.2506,pptpminiport,
c:/windows/system32/drivers/rassstp.sys,2024-06-30 15:47:46,1982-12-15 11:58:08,2024-05-23 02:17:59,rassstp.sys,True,True,True,126468,Microsoft Corporation,214b9980a3a4366adfb5ec1e0f7f74cfd4609754,netsstpa.inf_amd64_c5e0708cb4cdb557,8650778,10.0.22621.2506,122880,netsstpa.inf,Microsoft® Windows® Operating System,10.0.22621.2506,rassstp,
